title,links,scores,hn_links
,,,
,,,
,,,
More,news?p=2,51 ,item?id=19510882
"Amazon Aurora: Avoiding Distributed Consensus for I/Os, Commits, Membership","https://blog.acolyer.org/2019/03/27/amazon-aurora:-on-avoiding-distributed-consensus-for-i-os,-commits,-and-membership-changes/",,
,,51 ,item?id=19510882
,,,
BBC podcasts on third-party apps,http://www.bbc.co.uk/blogs/aboutthebbc/entries/d68712d7-bd24-440f-94a0-1c6a4cdee71a,,
,,142 ,item?id=19511026
,,,
Cisco Fixes RV320/RV325 Vulnerability by Banning “curl” in User-Agent,https://twitter.com/RedTeamPT/status/1110843396657238016,,
,,568 ,item?id=19507225
,,,
Learning Ada,https://words.steveklabnik.com/learning-ada,,
,,88 ,item?id=19510074
,,,
I Built a Lisp Compiler,https://mpov.timmorgan.org/i-built-a-lisp-compiler/,,
,,246 ,item?id=19508616
,,,
Software Won’t Fix Boeing’s ‘Faulty’ Airframe,https://www.eetimes.com/document.asp?doc_id=1334482,,
,,273 ,item?id=19509618
,,,
"Mistakes, we’ve drawn a few",https://medium.economist.com/mistakes-weve-drawn-a-few-8cdd8a42d368,,
,,222 ,item?id=19508729
,,,
YC Interviews in India,https://blog.ycombinator.com/yc-interviews-in-india/,,
,,190 ,item?id=19509281
,,,
How to Dress Like an Ottoman,https://www.atlasobscura.com/articles/illustrated-guide-to-ottoman-clothes,,
,,17 ,item?id=19510269
,,,
Cluetrain at 20,http://blogs.harvard.edu/doc/2019/03/26/cluetrain20/,,
,,15 ,item?id=19508364
,,,
Developing for Android is like being a demonetized YouTuber,https://gbl08ma.com/developing-for-android-is-like-being-a-demonetized-youtuber/,,
,,179 ,item?id=19506544
,,,
Office Depot computer scans gave fake results,https://www.consumer.ftc.gov/blog/2019/03/office-depot-computer-scans-gave-fake-results,,
,,202 ,item?id=19506228
,,,
How to open a microchip and see what’s inside,https://zeptobars.com/en/read/how-to-open-microchip-asic-what-inside,,
,,33 ,item?id=19509810
,,,
'The Wake' Is an Unlikely Hit in an Imaginary Language (2015),https://www.npr.org/2015/08/27/434970724/the-wake-is-an-unlikely-hit-in-an-imaginary-language,,
,,30 ,item?id=19509546
,,,
"UC Browser for Android, Desktop Exposes 500M Users to MiTM Attacks",https://www.bleepingcomputer.com/news/security/uc-browser-for-android-desktop-exposes-500-million-users-to-mitm-attacks/,,
,,66 ,item?id=19496491
,,,
F-35: What The Pilots Say,https://www.airspacemag.com/military-aviation/f-35-faces-most-critical-test-180971734/,,
,,187 ,item?id=19506763
,,,
"Build an Air Quality Monitor with InfluxDB, Grafana and Docker on a Raspberry Pi",https://www.balena.io/blog/build-an-environment-and-air-quality-monitor-with-raspberry-pi/,,
,,152 ,item?id=19506983
,,,
ECG app and irregular rhythm notification on Apple Watch,https://www.apple.com/newsroom/2019/03/ecg-app-and-irregular-rhythm-notification-on-apple-watch-available-today-across-europe-and-hong-kong/,,
,,135 ,item?id=19506652
,,,
Microsoft says encryption laws make companies wary of storing data in Australia,https://www.abc.net.au/news/2019-03-28/microsoft-says-companies-are-no-longer-comfortable-storing-data/10946494,,
,,498 ,item?id=19505880
,,,
Researchers: It takes 1.5 MB of data to store language information in the brain,https://medicalxpress.com/news/2019-03-approximately-megabytes-language-brain.html,,
,,28 ,item?id=19501145
,,,
Can you buy your own train?,https://www.citylab.com/transportation/2019/03/private-rail-car-fan-owners-amtrak-cuts-trains-are-cool/584971/,,
,,175 ,item?id=19505897
,,,
Real Programmers Don't Use Pascal (1982),https://web.mit.edu/humor/Computers/real.programmers,,
,,93 ,item?id=19504023
,,,
$50M CTF from Hackerone – Writeup,https://github.com/manoelt/50M_CTF_Writeup,,
,,62 ,item?id=19498912
,,,
Duke University research fraud settlement: $112M payment to U.S. government,https://www.dukechronicle.com/article/2019/03/duke-university-settlement-research-fraud-president-price-announces-research-fraud-settlement-with-substantial-payment-to-u-s-government,,
,,78 ,item?id=19487079
,,,
IBM purged ‘gray hairs’ and ‘old heads’ as it launched Millennial Corps: lawsuit,https://www.mercurynews.com/2019/03/27/ibm-purged-gray-hairs-and-old-heads-as-it-launched-millennial-corps-lawsuit/,,
,,352 ,item?id=19507447
,,,
Mux is looking for engineers and PMs to build the future of video infrastructure,https://mux.com/jobs/,,
,,3 hours ago,hide?id=19510731&goto=news
,,,
Google partners to fund new local media sites,https://www.axios.com/google-local-news-sites-funding-mcclatchy-df9988e5-b0ad-42dc-b579-ff014e98467b.html,,
,,36 ,item?id=19493131
,,,
1100 layoffs at Bay Area tech companies,https://www.mercurynews.com/2019/03/27/tech-layoffs-to-top-1000-in-bay-area-by-late-may-state-reports-show/,,
,,97 ,item?id=19508129
,,,
Keybase is not softer than TOFU,https://keybase.io/blog/chat-apps-softer-than-tofu,,
,,588 ,item?id=19502657
,,,
The World's Longest URL “Shortener”,http://aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com/,,
,,31 ,item?id=19511735
,,,
,,,
More,news?p=2,,
,,,
,,,
