Company_name,Descriptions,Address,Tel,Fax,Email_Address,Web
AWINCO SDN BHD,COMPLETE BATHROOM SOLUTION UNDER ONE ROOF,"No.8, Spg 12, Ground Floor, Hj Abdul Rahman Building, Kg Menglait, Jalan Gadong, Brunei Darussalam",+673 2423751,+673 267 1956,info@awincogroup.com,http://www.awincogroup.com
HENG THAI BUILDER SDN BHD,Property Developer,"No. 1, 1st Floor, Heng Thai Property Centre, Spg 22, Jalan Dato Ratna, Kg Kiarong, BSB BE1318, Brunei Darussalam",+673 242 9111/ 242 9222,+673 242 9555,,
ROSONNY CONTRACTOR,"We specialised in:
• Home & Building Construction
• Renovation, Remodeling
• Carpet Grass Turfing Maintenance And Repairs
• Custom-Made And Repairing of Tombstones With Top Quality Granite And Marbles","No. 10, Spg 77-19-21, Delima 2, Serusop, Brunei Darussalam",+673 8864431 / 8737005,+673 234 3066,resiong7005@gmail.com,http://www.resiong.com
SAY KOO (LIEW) SDN BHD,"Our affiliates:
•  L & E Enterprise  •  L & E Contractor  • Top Home Enterprise •  Casilin Contractor","Unit 9, 1st & 2nd Floor, Warisan Mata-Mata Complex, Jalan Gadong, BSB, Brunei Darussalam",+673 245 6498 / 872 6986 / 872 8896,+673 242 1656,infoskl@saykooliew.com,http://www.saykooliew.com
SPAD SDN BHD,"Contact Person:
Mr. Sebastian Yeoh +673 717 0233 / Mr. Dennis Chong +673 871 6776","Unit D8, 1st Floor, Bangunan Setia Kenangan 2, Spg 150-17-20, Kg.Kiulap, BSB BE1518, Brunei Darussalam",+673 7170233 / 8724757,+673 2425737,spadproperty@gmail.com,http://www.spad.com.bn
TSW FIDEL CONSTRUCTION,"HOUSING DEVELOPMENT & INTERIOR DESIGN
GOVERNMENT REGISTERED JKR CONTRACTOR","Lot 1432, Spg 1448, Jalan Sengkurong BG1121, Brunei Darussalam",+673 718 1391,,tswfidels@hotmail.com,
YAPPE DEVELOPMENT,"RESIDENTIAL DEVELOPMENT
COMMERCIAL DEVELOPMENT, DESIGN & BUILD
INTERIOR DESIGN, RENOVATION & PROJECT MANAGEMENT","Unit 10, 2nd Floor, Block A, Kompleks Muhibbah II, Jalan Gadong, BSB, Brunei Darussalam",+673 242 6132,,development@yappegroup.com,
AL MEDINA INTERNATIONAL CONSTRUCTION COMPANY,Contact: Ali or Siti,"Eng Ho Complex, Jalan Tungku Link, BSB, Brunei Darussalam.",+673 7166368 / 8757865,,yaali79@gmail.com,
ALLGRAND TECHNOLOGIES SDN BHD,Contact Person: Mr Terence Ting +673 8750678,"Unit 7, 1st Floor, Block A, Bangunan Desa Delima, Kg Panca Delima, Spg 44, Jalan Muara BB4513, Brunei Darussalam",+673 234 0122,+673 234 0122,allgrandtech@yahoo.com,
BQ SDN BHD,"We specialised in:-
• All kind of lighting (indoor & outdoor)
• Hardware & Building Materials
- Brick, Cement, Concrete pile, Timber, Solid door, Structural steel, Brc, UPVC & Fitting,
• CCTV Camera
• All kind of electrical switches & accessories","Unit 8, Ground Floor, Kompleks Hjh Sinun Bte Simpul dan Anak-anak, Spg 173, Kg Mulaut, BSB, Brunei Darussalam",+673 268 0698/ 267 1889,+673 268 0468,yen_8888@live.com,
KIAN TECK EARTHWORKS COMPANY,H/P: 8711398 (Tony Leong) /  8821455 (Wendy Wong),"Lot 14967, Spg 625, Kg. Madewa, Jalan Tutong, BSB BF1120, Brunei Darussalam ",+673 265 0908  ,+673 265 1411,kianteck58@gmail.com,
